Rank,Player,Team,Runs,4s,6s,Mat,Innings,Highest,100s,50s,Avg,SR
1,Virat Kohli,RCB,6624,578,218,223,215,113,5,44,36.2,129.15
2,Shikhar Dhawan,PBKS,6244,701,136,206,205,106*,2,47,35.08,126.35
3,David Warner,DC,5881,561,211,162,162,126,4,54,42.01,140.69
4,Rohit Sharma,MI,5879,519,240,227,222,109*,1,40,30.3,129.89
5,Suresh Raina,CSK,5528,506,203,205,200,100*,1,39,32.52,136.76
6,AB de Villiers,RCB,5162,413,251,184,170,133*,3,40,39.7,151.68
7,MS Dhoni,CSK,4978,346,229,234,206,84*,0,24,39.2,135.2
8,Chris Gayle,PBKS,4965,405,357,142,141,175*,6,31,39.72,148.96
9,Robin Uthappa,CSK,4952,481,182,205,197,88,0,27,27.51,130.35
10,Dinesh Karthik,RCB,4376,406,125,229,208,97*,0,19,26.85,132.65
11,Gautam Gambhir,DC,4217,492,59,154,152,93,0,36,31,123.88
12,Ambati Rayudu,CSK,4190,349,164,188,175,100*,1,22,29.1,127.12
13,Ajinkya Rahane,KKR,4074,431,80,158,148,105*,2,28,30.86,120.68
14,KL Rahul,LSG,3889,327,164,109,100,132*,4,31,48.01,136.22
15,Shane Watson,CSK,3874,376,190,145,141,117*,4,21,30.99,137.91
16,Manish Pandey,LSG,3648,318,105,160,149,114*,1,21,29.9,121.52
17,Sanju Samson,RR,3526,279,158,138,134,119,3,17,29.14,135.72
18,Kieron Pollard,MI,3412,218,223,189,171,87*,0,16,28.67,147.32
19,Faf du Plessis,RCB,3403,314,109,116,109,96,0,25,34.37,130.58
20,Yusuf Pathan,SRH,3204,262,158,174,154,100,1,13,29.13,142.97
21,Brendon McCullum,RCB,2880,293,130,109,109,158*,2,13,27.69,131.75
22,Parthiv Patel,RCB,2848,365,49,139,137,81,0,13,22.6,120.78
23,Rishabh Pant,DC,2838,260,129,98,97,128*,1,15,34.61,147.97
24,Jos Buttler,RR,2831,277,135,82,81,124,5,15,39.87,149.71
25,Shreyas Iyer,KKR,2776,237,99,101,101,96,0,19,31.55,125.38
26,Quinton de Kock,LSG,2764,277,106,92,92,140*,2,19,32.14,133.91
27,Yuvraj Singh,MI,2750,217,149,132,126,83,0,13,24.77,129.72
28,Virender Sehwag,PBKS,2728,334,106,104,104,122,2,16,27.55,155.44
29,Suryakumar Yadav,MI,2644,284,84,123,107,82,0,16,30.39,136.78
30,Murali Vijay,CSK,2619,247,91,106,106,127,2,13,25.93,121.87
31,Ravindra Jadeja,CSK,2502,182,90,210,161,62*,0,2,26.62,127.59
32,Steve Smith,DC,2485,225,60,103,93,101,1,11,34.51,128.09
33,Shaun Marsh,PBKS,2477,266,78,71,69,115,1,20,39.95,132.74
34,David Miller,GT,2455,169,113,105,101,101*,1,12,37.2,137.69
35,Jacques Kallis,KKR,2427,255,44,98,96,89,0,17,28.55,109.23
36,Wriddhiman Saha,GT,2427,231,76,144,119,115*,1,11,25.28,127.87
37,Dwayne Smith,GL,2385,245,117,91,89,87,0,17,28.39,135.2
38,Sachin Tendulkar,MI,2334,295,29,78,78,100*,1,13,34.84,119.82
39,Mayank Agarwal,PBKS,2327,226,91,113,107,106,1,12,22.59,134.28
40,Glenn Maxwell,RCB,2319,197,127,110,106,95,0,13,25.48,153.88
41,Nitish Rana,KKR,2181,190,111,91,85,87,0,15,28.32,134.22
42,Rahul Dravid,RR,2174,269,28,89,82,75,0,11,28.23,115.52
43,Kane Williamson,SRH,2101,182,64,76,75,89,0,18,36.22,126.03
44,Aaron Finch,KKR,2091,214,78,92,90,88*,0,15,25.19,128.2
45,Adam Gilchrist,PBKS,2069,239,92,80,80,109,2,11,27.22,138.39
46,Andre Russell,KKR,2035,137,175,98,82,88*,0,10,30.37,177.88
47,JP Duminy,MI,2029,126,79,83,77,78,0,14,39.78,124.02
48,Michael Hussey,CSK,1977,198,52,59,58,116,1,15,38.76,122.64
49,Hardik Pandya,GT,1963,146,110,107,100,91,0,8,30.2,147.59
50,Shubman Gill,GT,1900,188,47,74,71,96,0,14,32.2,125.25
51,Ishan Kishan,MI,1870,166,85,75,70,99,0,12,29.22,132.34
52,Mahela Jayawardena,DC,1802,200,39,80,78,110,1,10,28.6,123.26
53,Rahul Tripathi,SRH,1798,176,68,76,74,93,0,10,28.09,140.8
54,Mandeep Singh,DC,1692,175,37,108,95,77*,0,6,21.42,124.32
55,Kumar Sangakkara,SRH,1687,195,27,71,68,94,0,10,25.95,121.19
56,Manoj Tiwary,PBKS,1686,155,40,96,84,75,0,7,29.07,117.41
57,Prithvi Shaw,DC,1588,192,55,63,63,99,0,12,25.21,147.45
58,Dwayne Bravo,CSK,1560,120,66,161,113,70*,0,5,22.61,129.57
59,Naman Ojha,DC,1554,121,79,113,94,94,0,6,20.72,118.35
60,Karun Nair,RR,1496,161,39,76,68,83*,0,10,23.75,127.75
61,Saurabh Tiwary,MI,1494,111,50,93,73,61,0,8,28.73,120.1
62,Subramaniam Badrinath,CSK,1441,154,28,95,67,71,0,11,30.66,118.89
63,Eoin Morgan,KKR,1405,112,64,83,75,68*,0,5,22.66,122.6
64,Brad Hodge,RR,1400,122,43,66,63,73,0,6,33.33,125.22
65,Sourav Ganguly,PWI,1349,137,42,59,56,91,0,7,25.45,106.81
66,Chris Lynn,MI,1329,132,66,42,42,93*,0,10,34.08,140.63
67,Krunal Pandya,LSG,1326,121,50,98,85,86,0,1,22.47,136.7
68,David Hussey,CSK,1322,90,60,64,61,71,0,5,26.98,122.98
69,Jonny Bairstow,PBKS,1291,133,55,39,39,114,1,9,35.86,142.65
70,Devdutt Padikkal,RR,1260,135,36,46,46,101*,1,7,28,124.38
71,Deepak Hooda,LSG,1236,77,56,95,75,64,0,7,20.26,132.05
72,Ruturaj Gaikwad,CSK,1207,113,43,36,36,101*,1,10,37.72,130.35
73,Kedar Jadhav,SRH,1196,101,40,93,80,69,0,4,22.15,123.17
74,Irfan Pathan,GL,1139,87,37,103,82,60,0,1,21.49,120.4
75,Axar Patel,DC,1135,67,54,122,88,44,0,0,19.24,128.83
